game_id,Week-Year,home_team,away_team
199109010cle,1-1991,Cleveland Browns,Dallas Cowboys
199109010gnb,1-1991,Green Bay Packers,Philadelphia Eagles
199109010kan,1-1991,Kansas City Chiefs,Atlanta Falcons
199109010nor,1-1991,New Orleans Saints,Seattle Seahawks
199109010nyj,1-1991,New York Jets,Tampa Bay Buccaneers
199109010buf,1-1991,Buffalo Bills,Miami Dolphins
199109010chi,1-1991,Chicago Bears,Minnesota Vikings
199109010clt,1-1991,Indianapolis Colts,New England Patriots
199109010den,1-1991,Denver Broncos,Cincinnati Bengals
199109010oti,1-1991,Houston Oilers,Los Angeles Raiders
199109010pit,1-1991,Pittsburgh Steelers,San Diego Chargers
199109010ram,1-1991,Los Angeles Rams,Phoenix Cardinals
199109010was,1-1991,Washington Redskins,Detroit Lions
199109020nyg,1-1991,New York Giants,San Francisco 49ers
199109080atl,2-1991,Atlanta Falcons,Minnesota Vikings
199109080buf,2-1991,Buffalo Bills,Pittsburgh Steelers
199109080det,2-1991,Detroit Lions,Green Bay Packers
199109080kan,2-1991,Kansas City Chiefs,New Orleans Saints
199109080mia,2-1991,Miami Dolphins,Indianapolis Colts
199109080nwe,2-1991,New England Patriots,Cleveland Browns
199109080nyg,2-1991,New York Giants,Los Angeles Rams
199109080phi,2-1991,Philadelphia Eagles,Phoenix Cardinals
199109080tam,2-1991,Tampa Bay Buccaneers,Chicago Bears
199109080rai,2-1991,Los Angeles Raiders,Denver Broncos
199109080sea,2-1991,Seattle Seahawks,New York Jets
199109080sfo,2-1991,San Francisco 49ers,San Diego Chargers
199109080cin,2-1991,Cincinnati Bengals,Houston Oilers
199109090dal,2-1991,Dallas Cowboys,Washington Redskins
199109150chi,3-1991,Chicago Bears,New York Giants
199109150cle,3-1991,Cleveland Browns,Cincinnati Bengals
199109150dal,3-1991,Dallas Cowboys,Philadelphia Eagles
199109150det,3-1991,Detroit Lions,Miami Dolphins
199109150gnb,3-1991,Green Bay Packers,Tampa Bay Buccaneers
199109150min,3-1991,Minnesota Vikings,San Francisco 49ers
199109150pit,3-1991,Pittsburgh Steelers,New England Patriots
199109150was,3-1991,Washington Redskins,Phoenix Cardinals
199109150den,3-1991,Denver Broncos,Seattle Seahawks
199109150nyj,3-1991,New York Jets,Buffalo Bills
